,Unnamed: 0,network_v1.0.0,name_v1.0.0,func_v1.0.0,k_v1.0.0,bias_v1.0.0,numPI_v1.0.0,time_PI_v1.0.0,ks_v1.0.0,time_sym_v1.0.0,time_ks_v1.0.0,time_cov_v1.0.0,ke_v1.0.0,tss_v1.0.0,correct_v1.0.0,timeout_v1.0.0,time_sym_std_v1.0.0,ks_norm_v1.0.0,ke_norm_v1.0.0,source_v1.0.0,version_v1.0.0,network_v0.1.2,name_v0.1.2,func_v0.1.2,k_v0.1.2,bias_v0.1.2,numPI_v0.1.2,time_PI_v0.1.2,ks_v0.1.2,time_sym_v0.1.2,time_ks_v0.1.2,time_cov_v0.1.2,ke_v0.1.2,tss_v0.1.2,correct_v0.1.2,timeout_v0.1.2,time_sym_std_v0.1.2,ks_norm_v0.1.2,ke_norm_v0.1.2,source_v0.1.2,version_v0.1.2,ks_shuffle_vals
21,21,Apoptosis Network,Cas6,0010,2,0.25,2,4.38690185546875e-05,0.0,0.0002071380615234,1.0013580322265623e-05,5.817413330078125e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.940287837869364e-05,0.0,0.625,cc,new,Apoptosis Network,Cas6,0010,2,0.25,2,5.173683166503906e-05,,0.0012120723724365,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,0.0001355337297863,,0.625,cc,v0.1.2,"[0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 1.5, 1.5, 1.5, 1.5]"
25,25,Apoptosis Network,IKK,00101010,3,0.375,2,7.081031799316406e-05,0.75,0.0003104209899902,1.4781951904296877e-05,0.0003492832183837,1.5625,"[[['221', [], []], ['002', [], []]], [['120', [[0, 1]], []]]]",True,False,2.200850155727821e-05,0.25,0.5208333333333334,cc,new,Apoptosis Network,IKK,00101010,3,0.375,2,7.176399230957031e-05,,0.0018435478210449,,,1.5625,"[[('002', [], [[0, 1]]), ('221', [], [[0, 1]])], [('210', [[0, 1]], [])]]",True,False,0.0002136887934532,,0.5208333333333334,cc,v0.1.2,"[0.0, 2.625, 1.25, 1.125, 0.625, 0.75, 1.25, 0.75, 0.75, 0.75, 1.25, 0.0]"
26,26,Apoptosis Network,IkB,0010,2,0.25,2,4.291534423828125e-05,0.0,0.0002025604248046,1.0251998901367188e-05,5.602836608886719e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,1.9490102734875208e-05,0.0,0.625,cc,new,Apoptosis Network,IkB,0010,2,0.25,2,4.887580871582031e-05,,0.0011921405792236,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,0.0001494296428239,,0.625,cc,v0.1.2,"[1.5, 0.0, 1.5, 0.0, 1.5, 1.5, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,27,Apoptosis Network,TRAF2,0111,2,0.75,2,3.8623809814453125e-05,1.5,0.0003048419952392,1.1205673217773438e-05,0.0002992153167724,1.25,"[[['00', [], []]], [['12', [[0, 1]], []]]]",True,False,2.036859471427148e-05,0.75,0.625,cc,new,Apoptosis Network,TRAF2,0111,2,0.75,2,4.792213439941406e-05,,0.0015144824981689,,,1.25,"[[('00', [], [[0, 1]])], [('12', [[0, 1]], [])]]",True,False,5.754703470242932e-05,,0.625,cc,v0.1.2,"[0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 1.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,34,Apoptosis Network,BID,0000001000100010,4,0.1875,3,0.0001382827758789,0.375,0.0003196716308593,1.931190490722656e-05,0.0003731250762939,1.5208333333333337,"[[['2221', [], []], ['2202', [], []], ['0022', [], []]], [['1210', [[0, 1]], []]]]",True,False,1.5910506208727867e-05,0.09375,0.3802083333333333,cc,new,Apoptosis Network,BID,0000001000100010,4,0.1875,3,0.0001509189605712,,0.002880573272705,,,1.5208333333333337,"[[('2221', [], [[0, 1, 2]]), ('0022', [], [[0, 1], [2, 3]]), ('2202', [], [[0, 1, 3]])], [('2110', [[0, 1]], [])]]",True,False,0.0004393223426759,,0.3802083333333333,cc,v0.1.2,"[1.8697916269302368, 0.4791666567325592, 1.7083333730697632, 0.9791666865348816, 1.3125, 1.0729166269302368, 1.3125, 1.6875, 1.375, 0.375, 1.375, 1.375]"
35,35,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,0.0001418590545654,1.6875,0.0003278732299804,2.09808349609375e-05,0.0012047290802001,1.5208333333333337,"[[['2212', [[2, 3]], []], ['0022', [], []]], [['1200', [[0, 1]], []]]]",True,False,1.6360726930023326e-05,0.421875,0.3802083333333333,cc,new,Apoptosis Network,Cas9,0000100010001000,4,0.1875,3,0.000145673751831,,0.0029107093811035,,,1.5208333333333337,"[[('2212', [[2, 3]], [[0, 1]]), ('0022', [], [[0, 1], [2, 3]])], [('1200', [[0, 1]], [[0, 1]])]]",True,False,0.0001166142877616,,0.3802083333333333,cc,v0.1.2,"[0.4791666567325592, 0.9791666865348816, 1.7083333730697632, 0.4791666567325592, 0.4791666567325592, 1.6875, 0.9791666865348816, 1.796875, 0.9791666865348816, 0.9791666865348816, 1.8697916269302368, 0.9791666865348816]"
36,36,Apoptosis Network,BclX,00100000,3,0.125,3,6.890296936035156e-05,1.125,0.0003154754638671,1.5020370483398438e-05,0.000565767288208,1.25,"[[['122', [[0, 2]], []], ['202', [], []]], [['010', [], []]]]",True,False,1.8525230991636456e-05,0.375,0.4166666666666667,cc,new,Apoptosis Network,BclX,00100000,3,0.125,3,0.0001392364501953,,0.0022370815277099,,,1.25,"[[('221', [[0, 2]], []), ('202', [], [[0, 2]])], [('010', [], [[0, 2]])]]",True,False,4.585750660548195e-05,,0.4166666666666667,cc,v0.1.2,"[1.125, 1.125, 1.125, 2.625, 1.125, 1.125, 2.625, 1.125, 1.125, 2.625, 1.125, 1.125]"
38,38,Apoptosis Network,BAD,0010,2,0.25,2,4.1961669921875e-05,0.0,0.0002061367034912,1.049041748046875e-05,5.5789947509765625e-05,1.25,"[[['02', [], []], ['21', [], []]], [['10', [], []]]]",True,False,9.977867383843784e-06,0.0,0.625,cc,new,Apoptosis Network,BAD,0010,2,0.25,2,4.911422729492188e-05,,0.0011176109313964,,,1.25,"[[('02', [], []), ('21', [], [])], [('10', [], [])]]",True,False,2.538485057325818e-05,,0.625,cc,v0.1.2,"[0.0, 1.5, 0.0, 1.5, 0.0, 0.0, 1.5, 0.0, 0.0, 1.5, 1.5, 1.5]"
41,41,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,0.0001296997070312,0.0,0.0002478599548339,1.811981201171875e-05,0.0001232624053955,1.6979166666666663,"[[['2220', [], []], ['1122', [], []], ['2102', [], []]], [['0211', [], []], ['2021', [], []]]]",True,False,1.3606663403142084e-05,0.0,0.4244791666666666,cc,new,Arabidopsis thaliana Cell Cycle,MYB77,0101000101010000,4,0.3125,3,0.0001394748687744,,0.0023405075073242,,,1.6979166666666663,"[[('2102', [], [[0, 3]]), ('1122', [], [[0, 1], [2, 3]]), ('2220', [], [[0, 1, 2]])], [('2021', [], [[0, 2]]), ('0211', [], [[2, 3]])]]",True,False,6.5158257918131e-05,,0.4244791666666666,cc,v0.1.2,"[1.2083333730697632, 1.1041666269302368, 2.8125, 1.90625, 0.4166666567325592, 2.25, 1.4583333730697632, 0.6875, 0.7916666865348816, 2.09375, 1.0208333730697632, 2.25]"
42,42,Arabidopsis thaliana Cell Cycle,KRP1,00001111000011101111111111101110,5,0.65625,6,0.0002877712249755,3.28125,0.0021862983703613,3.027915954589844e-05,0.008843183517456,2.109375,"[[['02022', [], []], ['21211', [], []]], [['10222', [[0, 2], [1, 3, 4]], []]]]",True,False,0.0005920352049117,0.65625,0.421875,cc,new,Arabidopsis thaliana Cell Cycle,KRP1,00001111000011101111111111101110,5,0.65625,6,0.0003068447113037,,0.0034541606903076,,,2.109375,"[[('21211', [], [[0, 2], [1, 3, 4]]), ('02022', [], [[0, 2], [1, 3, 4]])], [('12202', [[0, 2], [1, 3, 4]], [[0, 2, 3]])]]",True,False,6.107954556874569e-05,,0.421875,cc,v0.1.2,"[1.9187500476837158, 1.7708333730697632, 0.5885416865348816, 2.1229166984558105, 1.3964285850524902, 1.046875, 1.7151042222976685, 0.7708333134651184, 2.0916666984558105, 0.9583333134651184, 1.6979166269302368, 2.0130207538604736]"
43,43,Arabidopsis thaliana Cell Cycle,CYCB1;1,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,0.39453125,5,0.0105676651000976,0.6875,0.0003568649291992,0.0001552104949951,0.0074234008789062,1.892252604166667,"[[['02102202', [], []], ['02221202', [], []], ['22222122', [], []], ['01122202', [], []], ['02222200', [], []]], [['22020021', [], []], ['20210021', [], []], ['12222022', [[0, 6]], []]]]",True,False,5.773637567327165e-05,0.0859375,0.2365315755208333,cc,new,Arabidopsis thaliana Cell Cycle,CYCB1;1,0111000000110000011100000011000000110000001100000111000000110000011100000011000001110000001100000011000000110000001100000011000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000111100001111000011110000,8,0.39453125,5,0.0108222961425781,,0.0134031295776367,,,1.892252604166668,"[[('02102202', [], [[0, 3, 6], [1, 4, 5, 7]]), ('02221202', [], [[0, 6], [1, 2, 3, 5, 7]]), ('22222122', [], [[0, 1, 2, 3, 4, 6, 7]]), ('02222200', [], [[0, 6, 7], [1, 2, 3, 4, 5]]), ('01122202', [], [[0, 6], [1, 2], [3, 4, 5, 7]])], [('12222022', [[0, 6]], [[0, 1]]), ('22020021', [], [[0, 1, 3, 6], [2, 4, 5]]), ('20210021', [], [[0, 2, 6], [1, 4, 5], [3, 7]])]]",True,False,0.000238145309243,,0.2365315755208334,cc,v0.1.2,"[2.315427541732788, 1.8014589548110962, 1.6956638097763062, 1.9673348665237427, 2.025564670562744, 2.008695125579834, 1.9975874423980713, 1.9128406047821045, 2.2747204303741455, 2.1170735359191895, 1.9995226860046387, 1.9391536712646484]"
44,44,Arabidopsis thaliana Cell Cycle,E2Fe,1101110111001101110111011100110011111111111111111111111111111111,6,0.828125,4,0.0010137557983398,0.0,0.0002427101135253,4.887580871582031e-05,0.0004951953887939,1.665364583333333,"[[['022210', [], []], ['021012', [], []], ['011212', [], []]], [['122222', [], []], ['202121', [], []], ['220221', [], []], ['222202', [], []]]]",True,False,2.956544195296193e-05,0.0,0.2775607638888888,cc,new,Arabidopsis thaliana Cell Cycle,E2Fe,1101110111001101110111011100110011111111111111111111111111111111,6,0.828125,4,0.0025007724761962,,0.0055686473846435,,,1.665364583333334,"[[('021012', [], [[0, 3], [1, 5], [2, 4]]), ('011212', [], [[1, 2, 4], [3, 5]]), ('022210', [], [[0, 5], [1, 2, 3]])], [('220221', [], [[0, 1, 3, 4]]), ('222202', [], [[0, 1, 2, 3, 5]]), ('202121', [], [[0, 2, 4], [3, 5]]), ('122222', [], [[1, 2, 3, 4, 5]])]]",True,False,0.0011378173785184,,0.277560763888889,cc,v0.1.2,"[2.095498561859131, 2.2457962036132812, 2.042327880859375, 3.1344804763793945, 1.1434895992279053, 2.1235721111297607, 2.054873466491699, 2.4354279041290283, 1.6799851655960083, 1.9305989742279053, 1.8567708730697632, 2.2242188453674316]"
45,45,Arabidopsis thaliana Cell Cycle,RBR,01110000010100000111011101010101,5,0.46875,4,0.000267744064331,0.0,0.0003082752227783,2.694129943847656e-05,0.0002176761627197,2.140625,"[[['22200', [], []], ['02122', [], []], ['21220', [], []]], [['10212', [], []], ['12221', [], []], ['22021', [], []], ['20012', [], []]]]",True,False,1.4513406661794128e-05,0.0,0.428125,cc,new,Arabidopsis thaliana Cell Cycle,RBR,01110000010100000111011101010101,5,0.46875,4,0.0002470016479492,,0.005321455001831,,,2.140625,"[[('02122', [[0, 4], [1, 2]], [[0, 1]]), ('22200', [], [[0, 1, 2], [3, 4]])], [('22021', [], [[0, 1, 3]]), ('10212', [], [[0, 3], [2, 4]]), ('20012', [], [[0, 4], [1, 2]]), ('12221', [], [[0, 4], [1, 2, 3]])]]",False,False,0.0005062127930768,,0.428125,cc,v0.1.2,"[1.0703125, 1.21875, 0.5, 1.4322916269302368, 1.1875, 1.0208333730697632, 2.0677082538604736, 1.1770833730697632, 1.390625, 1.9114583730697632, 0.8802083134651184, 1.3697916269302368]"
47,47,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,0.0001227855682373,1.125,0.0003153800964355,2.050399780273437e-05,0.0012004375457763,2.0,"[[['2211', [], []], ['0122', [], []]], [['2002', [[2, 3]], []], ['1202', [[2, 3]], []]]]",True,False,4.041779315519914e-05,0.28125,0.5,cc,new,Arabidopsis thaliana Cell Cycle,E2Fa,1110000011101110,4,0.5625,4,0.0001153945922851,,0.0036652088165283,,,2.0,"[[('2211', [], [[0, 1], [2, 3]]), ('0122', [], [[2, 3]])], [('2002', [[2, 3]], []), ('1220', [[2, 3]], [])]]",True,False,9.107739512225347e-05,,0.5,cc,v0.1.2,"[1.90625, 0.9791666865348816, 1.25, 1.1666666269302368, 0.625, 1.3125, 1.7916666269302368, 1.0, 1.28125, 0.5625, 1.4947916269302368, 0.5625]"
48,48,Arabidopsis thaliana Cell Cycle,SCF,0111000001110000001100000111000001110000011100000011000000110000,6,0.328125,4,0.0009539127349853,0.0,0.0002541542053222,4.57763671875e-05,0.0004184246063232,1.87109375,"[[['222122', [], []], ['210202', [], []], ['112202', [], []], ['222200', [], []]], [['202021', [], []], ['021021', [], []], ['222012', [], []]]]",True,False,2.974218022122612e-05,0.0,0.3118489583333333,cc,new,Arabidopsis thaliana Cell Cycle,SCF,0111000001110000001100000111000001110000011100000011000000110000,6,0.328125,4,0.0009412765502929,,0.0052461147308349,,,1.87109375,"[[('222200', [], [[0, 1, 2, 3], [4, 5]]), ('222122', [], [[0, 1, 2, 4, 5]]), ('210202', [], [[0, 3, 5], [2, 4]]), ('112202', [], [[0, 1], [2, 3, 5]])], [('222012', [], [[0, 1, 2, 5]]), ('202021', [], [[0, 2, 4], [1, 3]]), ('021021', [], [[0, 3], [1, 4], [2, 5]])]]",True,False,0.0001676093395844,,0.3118489583333333,cc,v0.1.2,"[1.3686383962631226, 1.392187476158142, 1.9323474168777466, 1.6536458730697632, 2.0090959072113037, 1.4692708253860474, 2.009305000305176, 1.9484316110610962, 1.954687476158142, 1.036718726158142, 1.4580729007720947, 1.9117542505264282]"
49,49,Arabidopsis thaliana Cell Cycle,E2Fc,0101111101001100010101010100010001011111010111110101010101010101,6,0.546875,6,0.0008461475372314,0.703125,0.0003942489624023,5.316734313964844e-05,0.004425048828125,2.263020833333333,"[[['021212', [], []], ['212220', [], []], ['222020', [], []]], [['102122', [], []], ['122221', [], []], ['220221', [[2, 4]], []], ['200122', [[2, 4]], []]]]",True,False,4.098986069433203e-05,0.1171875,0.3771701388888889,cc,new,Arabidopsis thaliana Cell Cycle,E2Fc,0101111101001100010101010100010001011111010111110101010101010101,6,0.546875,6,0.0007266998291015,,0.0151538372039794,,,2.263020833333333,"[[('212220', [], [[0, 2, 3, 4]]), ('222020', [], [[0, 1, 2, 4], [3, 5]]), ('021212', [], [[1, 3, 5], [2, 4]])], [('222201', [[2, 4]], [[0, 1]]), ('202102', [[2, 4]], []), ('122221', [], [[0, 5], [1, 2, 3, 4]]), ('102122', [], [[0, 3], [2, 4, 5]])]]",True,False,0.0002802313762966,,0.3771701388888888,cc,v0.1.2,"[1.8664062023162842, 1.6044270992279053, 1.8720238208770752, 2.0902528762817383, 1.6080728769302368, 1.58203125, 1.6369792222976685, 1.6946614980697632, 1.4404327869415283, 0.7489583492279053, 1.9479166269302368, 1.6408109664916992]"
50,50,Arabidopsis thaliana Cell Cycle,APC/C,01110101000000001111111100000000,5,0.40625,3,0.0003128051757812,0.65625,0.0003491878509521,4.863739013671875e-05,0.0017759799957275,1.7708333333333337,"[[['02120', [], []], ['02200', [], []], ['21222', [], []]], [['10222', [[0, 4]], []], ['20012', [], []]]]",True,False,6.386247144329587e-05,0.13125,0.3541666666666667,cc,new,Arabidopsis thaliana Cell Cycle,APC/C,01110101000000001111111100000000,5,0.40625,3,0.0005338191986083,,0.0033614635467529,,,1.770833333333333,"[[('02120', [], [[0, 4], [1, 3]]), ('02200', [], [[0, 3, 4], [1, 2]]), ('21222', [], [[0, 2, 3, 4]])], [('20221', [[0, 4]], []), ('20012', [], [[0, 4], [1, 2]])]]",True,False,0.0004846231890696,,0.3541666666666666,cc,v0.1.2,"[1.6770833730697632, 1.478124976158142, 1.5026041269302368, 1.9713541269302368, 1.21875, 1.2604166269302368, 1.1614583730697632, 1.296875, 1.657812476158142, 1.892187476158142, 0.875, 1.3072916269302368]"
51,51,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,0.000291109085083,0.5625,0.0002798080444335,1.7404556274414062e-05,0.0006134510040283,1.625,"[[['0202', [[2, 3]], []], ['0122', [], []]], [['2011', [], []], ['1222', [], []]]]",True,False,1.7514015261882316e-05,0.140625,0.40625,cc,new,Arabidopsis thaliana Cell Cycle,MYB3R1/4,0001000011111111,4,0.5625,3,0.0001156330108642,,0.0022876739501953,,,1.625,"[[('0202', [[2, 3]], []), ('0122', [], [[2, 3]])], [('2011', [], [[2, 3]]), ('1222', [], [[1, 2, 3]])]]",True,False,0.0001519362422742,,0.40625,cc,v0.1.2,"[1.90625, 0.5625, 2.125, 2.125, 0.6875, 1.78125, 0.6875, 0.8125, 1.4375, 1.3125, 1.6354166269302368, 1.53125]"
52,52,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,5.626678466796875e-05,0.75,0.0002881050109863,1.2636184692382812e-05,0.0003015995025634,1.5625,"[[['212', [], []], ['020', [], []]], [['102', [[0, 2]], []]]]",True,False,1.804915253489884e-05,0.25,0.5208333333333334,cc,new,Arabidopsis thaliana Cell Cycle,CYCA2;3,01001100,3,0.375,2,6.365776062011719e-05,,0.0017059803009033,,,1.5625,"[[('212', [], [[0, 2]]), ('020', [], [[0, 2]])], [('201', [[0, 2]], [])]]",True,False,0.0002529140691049,,0.5208333333333334,cc,v0.1.2,"[0.625, 0.75, 0.0, 0.75, 0.0, 2.625, 1.125, 1.125, 1.25, 0.0, 0.0, 1.25]"
53,53,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,6.031990051269531e-05,0.0,0.0001968383789062,1.2159347534179688e-05,0.0001049041748046,1.25,"[[['20', [], []], ['12', [], []]], [['01', [], []]]]",True,False,1.7354907459062748e-05,0.0,0.625,cc,new,Arabidopsis thaliana Cell Cycle,E2Fb,0100,2,0.25,2,4.744529724121094e-05,,0.0011598110198974,,,1.25,"[[('12', [], []), ('20', [], [])], [('01', [], [])]]",True,False,0.0001515026991682,,0.625,cc,v0.1.2,"[0.0, 1.5, 1.5, 1.5, 1.5, 0.0, 0.0, 1.5, 1.5, 0.0, 0.0, 1.5]"
