,network,name,func,k,bias,numPI,time_PI,ks,time_sym,time_ks,time_cov,ke,ks_norm,ke_norm
10,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Mito,0010,2,0.25,2,5.91278076171875e-05,0.0,0.0002529621124267578,2.3126602172851562e-05,5.7220458984375e-05,1.25,0.0,0.625
11,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",JNK,01,1,0.5,1,3.314018249511719e-05,0.0,0.0002384185791015625,3.814697265625e-06,2.6464462280273438e-05,1.0,0.0,1.0
12,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Mdm2,0111,2,0.75,2,5.5789947509765625e-05,1.5,0.0004448890686035156,2.3603439331054688e-05,0.0002071857452392578,1.25,0.75,0.625
13,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Cas8,01110000,3,0.375,2,7.319450378417969e-05,0.75,0.0004630088806152344,2.5033950805664062e-05,0.00024056434631347656,1.5625,0.25,0.5208333333333334
14,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",p53,01001100,3,0.375,2,7.82012939453125e-05,0.75,0.0005743503570556641,8.344650268554688e-06,0.0002346038818359375,1.5625,0.25,0.5208333333333334
15,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Apoptosis,01,1,0.5,1,1.9311904907226562e-05,0.0,0.00022912025451660156,4.291534423828125e-06,1.33514404296875e-05,1.0,0.0,1.0
16,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",NFkB,10,1,0.5,1,1.430511474609375e-05,0.0,0.0002048015594482422,2.1457672119140625e-05,1.2636184692382812e-05,1.0,0.0,1.0
17,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",PIP3,00010000,3,0.125,3,9.489059448242188e-05,1.125,0.0005621910095214844,8.344650268554688e-06,0.0003898143768310547,1.25,0.375,0.4166666666666667
18,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Cas7,01110000,3,0.375,2,7.534027099609375e-05,0.75,0.00046539306640625,2.5510787963867188e-05,0.00024366378784179688,1.5625,0.25,0.5208333333333334
19,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",PI3K,01,1,0.5,1,3.24249267578125e-05,0.0,0.00024199485778808594,3.5762786865234375e-06,3.075599670410156e-05,1.0,0.0,1.0
20,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",JNKK,0010,2,0.25,2,5.888938903808594e-05,0.0,0.00025582313537597656,2.3603439331054688e-05,5.793571472167969e-05,1.25,0.0,0.625
21,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",Cas6,0010,2,0.25,2,5.888938903808594e-05,0.0,0.00025534629821777344,5.0067901611328125e-06,5.698204040527344e-05,1.25,0.0,0.625
22,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",MEKK1,01,1,0.5,1,2.574920654296875e-05,0.0,0.00026535987854003906,4.291534423828125e-06,1.6450881958007812e-05,1.0,0.0,1.0
23,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",TNFR1,01,1,0.5,1,2.2649765014648438e-05,0.0,0.00040221214294433594,5.7220458984375e-06,1.8835067749023438e-05,1.0,0.0,1.0
24,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",NIK,01,1,0.5,1,1.4543533325195312e-05,0.0,0.0002593994140625,2.1457672119140625e-05,3.147125244140625e-05,1.0,0.0,1.0
25,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",IKK,00101010,3,0.375,2,5.316734313964844e-05,0.75,0.0006387233734130859,1.4543533325195312e-05,0.0002429485321044922,1.5625,0.25,0.5208333333333334
26,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",IkB,0010,2,0.25,2,5.507469177246094e-05,0.0,0.00028061866760253906,1.0013580322265625e-05,4.00543212890625e-05,1.25,0.0,0.625
27,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",TRAF2,0111,2,0.75,2,4.792213439941406e-05,1.5,0.0009846687316894531,8.344650268554688e-06,0.0003490447998046875,1.25,0.75,0.625
28,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",TRAF,01,1,0.5,1,3.2901763916015625e-05,0.0,0.0003991127014160156,7.867813110351562e-06,2.5272369384765625e-05,1.0,0.0,1.0
29,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",AKT,01,1,0.5,1,1.9550323486328125e-05,0.0,0.00020813941955566406,4.5299530029296875e-06,1.4543533325195312e-05,1.0,0.0,1.0
30,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",PIP2,01,1,0.5,1,1.5020370483398438e-05,0.0,0.00019502639770507812,3.814697265625e-06,1.33514404296875e-05,1.0,0.0,1.0
31,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",GFR,01,1,0.5,1,1.3828277587890625e-05,0.0,0.0002067089080810547,4.0531158447265625e-06,5.3882598876953125e-05,1.0,0.0,1.0
32,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",A20,01,1,0.5,1,1.4066696166992188e-05,0.0,0.0002231597900390625,3.814697265625e-06,1.3113021850585938e-05,1.0,0.0,1.0
33,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",RIP,01,1,0.5,1,1.430511474609375e-05,0.0,0.00022220611572265625,3.814697265625e-06,1.33514404296875e-05,1.0,0.0,1.0
34,"<BNetwork(name='Apoptosis Network', N=41, Nodes=['Cas3', 'Cas12', 'IAP', 'cFLIP', 'TRADD', 'TNFR2', 'PTEN', 'APC', 'FADD', 'Apaf1', 'Mito', 'JNK', 'Mdm2', 'Cas8', 'p53', 'Apoptosis', 'NFkB', 'PIP3', 'Cas7', 'PI3K', 'JNKK', 'Cas6', 'MEKK1', 'TNFR1', 'NIK', 'IKK', 'IkB', 'TRAF2', 'TRAF', 'AKT', 'PIP2', 'GFR', 'A20', 'RIP', 'BID', 'Cas9', 'BclX', 'DNADamageEvent', 'BAD', 'TNF', 'GF'])>",BID,0000001000100010,4,0.1875,3,0.0001392364501953125,0.375,0.0006115436553955078,1.2159347534179688e-05,0.00025272369384765625,1.5208333333333335,0.09375,0.38020833333333337
